fold,test_acc,test_f1,best_val_acc,stopped_epoch
1,0.32592591643333435,0.3208291232585907,0.32592591643333435,54
2,0.2481481432914734,0.2389141172170639,0.28518518805503845,42
3,0.2644032835960388,0.239726260304451,0.2849794328212738,47
4,0.20576131343841553,0.16468723118305206,0.2602880597114563,42
5,0.30041152238845825,0.28116875886917114,0.30761316418647766,48
6,0.31378600001335144,0.30475565791130066,0.31378600001335144,44
7,0.29012346267700195,0.2701154053211212,0.29012346267700195,38
8,0.26851850748062134,0.2511776089668274,0.27572017908096313,53
9,0.2530864179134369,0.22885429859161377,0.2530864179134369,31
10,0.24098867177963257,0.22038839757442474,0.25643667578697205,28
mean,0.271115,0.252062,,
std,0.036709,0.044945,,
